Track URI,Track Name,Anime Name,Release Date,Album Name,Artist Name(s),Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2NasEYCMz45B4see4iDqS0,ドラえもんのうた (OP),ドラえもん,1979-01-01,熱烈！アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ『ドラえもん』,水野愛日,174492,41,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:55:30Z,,fyto inc.,0.724,0.627,1,-3.683,1,0.0381,0.612,0.0000073,0.0586,0.888,123.103,4
spotify:track:2mMKWdXYz7vVelTbt69UJo,愛をとりもどせ!!,北斗の拳,1984-01-01,アニソンNo.1,CRYSTALKING,180200,27,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T19:09:32Z,"kayokyoku,anime,enka","TEAM Entertainment,Inc.",0.457,0.969,4,-2.075,0,0.109,0.384,0,0.0893,0.548,155.008,4
spotify:track:5CwhBU7eqQgkOVMnRNuzzT,Get Wild,シティーハンター,1987-01-01,GIFT FOR FANKS,TM NETWORK,240333,0,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T19:10:21Z,"kayokyoku,j-pop,anime",Sony Music Direct(Japan)Inc.,0.624,0.856,7,-10.914,1,0.0477,0.0157,0.00000729,0.158,0.836,131.834,4
spotify:track:252lj7Oy8JzIKVECJX4gpi,ムーンライト伝説,美少女戦士セーラームーン,1992-01-01,ムーンライト伝説,Shoko Nakagawa,175428,32,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T19:10:36Z,"anime,j-rock,j-pop",Sony Music Labels Inc.,0.71,0.876,1,-4.719,1,0.0335,0.0057,0.0000867,0.36,0.549,139.969,4
spotify:track:23phSRwoMy48rwFpmuAP8q,残酷な天使のテーゼ,新世紀エヴァンゲリオン,1995-01-01,残酷な天使のテーゼ/魂のルフラン,Yoko Takahashi,247746,60,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T19:04:04Z,"anime,j-pop",KINGRECORDS,0.691,0.773,0,-5.244,0,0.0494,0.0174,0.000451,0.117,0.502,128.162,4
spotify:track:2wN5DYZkj1EHlX2obTNBFj,檄! 帝国華撃団,サクラ大戦,1996-01-01,サクラ大戦 OVA「桜華絢爛」光録音館,横山 智佐 (真宮寺 さくら);富沢 美智恵 (神崎 すみれ);高乃 麗 (マリア・タチバナ);西原 久美子 (アイリス);渕崎 ゆり子 (李 紅蘭);田中 真弓 (桐島 カンナ),180893,29,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:52:58Z,"kayokyoku,anime",SEGA MUSIC,0.564,0.831,4,-7.685,0,0.0488,0.149,0.000259,0.0354,0.69,142.824,4
spotify:track:0IL7LGrnYObWYyYaJ3GzWr,そばかす,るろうに剣心 -明治剣客浪漫譚-,1996-01-01,そばかす,JUDY AND MARY,255200,52,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T19:11:30Z,"j-pop,anime,j-rock,kayokyoku",Sony Music Labels Inc.,0.484,0.779,9,-4.98,1,0.0436,0.131,0.00000109,0.376,0.584,169.869,4
spotify:track:2Yv0FavwiRO1mzaIThDAiM,Bad Apple!!,東方幻想郷,1998-01-01,Bad Apple!!,Alstroemeria Records,319555,65,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:48:51Z,vocaloid,Alstroemeria Records,0.498,0.721,1,-4.49,0,0.0304,0.0000123,0.000613,0.0789,0.254,138.041,4
spotify:track:4A3G4Chh8DTJftwJEf5tOp,Butter-Fly （デジモンアドベンチャー全話OP）,デジモンアドベンチャー,1999-01-01,熱烈！アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「デジモンシリーズ」 vol.1,Sho Oosawa,257950,54,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T19:11:45Z,anime,fyto inc.,0.472,0.907,2,-4.545,1,0.0546,0.00116,0,0.0645,0.441,164.994,4
spotify:track:1PdWDLJNk040dkuXoLLE2F,ウィーアー!,ONE PIECE,1999-01-01,ウィーアー! (TVアニメ『ONE PIECE』オープニングテーマ),Hiroshi Kitadani,241933,55,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T19:12:00Z,anime,"Nippon Columbia Co., Ltd./NIPPONOPHONE",0.455,0.905,10,-4.356,0,0.0902,0.057,0,0.0223,0.53,167.998,4
spotify:track:17YUGZ488r8GzhbfclLQzq,GO!!! (Naruto Opening 4),NARUTO -ナルト-,2002-01-01,PelleK's Naruto Medley,PelleK,92450,13,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T19:14:36Z,anime,PelleK,0.605,0.859,1,-4.745,1,0.0551,0.00537,0,0.363,0.692,133,4
spotify:track:7zty9mmmuqQsn8s4zDH4nk,メリッサ,鋼の錬金術師,2003-01-01,Porno Graffitti 15th Anniversary All Time Singles,PornoGraffitti,274546,52,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T19:12:33Z,"anime,j-pop,j-rock",Sony Music Labels Inc.,0.538,0.928,7,-4.152,1,0.0771,0.0108,0,0.0496,0.797,170,4
spotify:track:1FqOxfA4ghGxSrpNrjGhVx,瞳の中の迷宮,ヤミと帽子と本の旅人,2004-01-01,瞳の中の迷宮,Aiko Kayo,252033,6,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:50:19Z,shibuya-kei,avex trax,0.562,0.998,8,-2.047,0,0.0757,0.0189,0.824,0.19,0.471,129.031,4
spotify:track:7gaaMd98dW4ssle6fc1fBh,逆さまの蝶,地獄少女,2005-01-01,初雪,SNoW,273506,40,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:24:37Z,anime,Sony Music Direct (Japan) Inc.,0.581,0.846,1,-4.342,1,0.0297,0.0859,0.00000663,0.148,0.784,90.026,4
spotify:track:2JacUWw1kxN2lunFlCLrPe,Tori no Uta,AIR,2005-01-01,AIR ORIGINAL SOUNDTRACK,Lia;VISUAL ARTS / Key,368000,42,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:51:24Z,anime,VISUAL ARTS / Key Sounds Label,0.593,0.905,11,-7.642,0,0.0568,0.0609,0.000138,0.107,0.48,122.107,4
spotify:track:4UVQnzCZX2Uw9hq4Ano1Ux,ハレ晴レユカイ - Ver.涼宮ハルヒ,涼宮ハルヒの憂鬱,2006-01-01,涼宮ハルヒの憂鬱 キャラクターソング (Vol.1 涼宮ハルヒ),涼宮ハルヒ (CV.平野 綾),217866,30,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:27:53Z,"anime,j-rock,j-pop",Lantis,0.505,0.956,10,-2.7,0,0.0638,0.00899,0.00000113,0.297,0.781,171.938,4
spotify:track:4YnXlBbFnMJf6qiO2LQMlU,God knows...,涼宮ハルヒの憂鬱,2006-01-01,涼宮ハルヒの詰合,涼宮ハルヒ (CV.平野 綾),279040,57,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T19:15:02Z,"anime,j-rock,j-pop",Lantis,0.456,0.955,11,-2.225,1,0.133,0.00152,0.00000656,0.351,0.411,150.01,4
spotify:track:6bPPyigCphBBQ9781j6eKM,COLORS,コードギアス 反逆のルルーシュ,2006-01-01,FLOW THE BEST 〜Single Collection〜,FLOW,218493,55,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T19:18:28Z,"anime,j-rock,j-pop",Sony Music Labels Inc.,0.457,0.877,1,-4.229,1,0.0504,0.0353,0,0.106,0.387,136.03,4
spotify:track:43FWf8KrIofEGueGabxPkK,旅の途中 (狼と香辛料),狼と香辛料,2008-01-01,JAPAN ANIMESONG COLLECTION VOL.29 [アニソン・ジャパン],Yumiko,290148,8,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:25:09Z,anime,fyto inc.,0.38,0.521,1,-6.827,0,0.0305,0.394,0,0.106,0.161,172.022,3
spotify:track:08hU4ic3BmXofI27o0vNCY,only my railgun,とある科学の超電磁砲,2009-01-01,infinite synthesis,fripSide,254080,0,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:27:12Z,"anime,j-pop",NBCUniversal Entertainment,0.57,0.998,6,-1.336,1,0.16,0.22,0.255,0.317,0.34,142.993,4
spotify:track:77LQNv3wdUvN5sXG9v5H9u,"Don't Say ""Lazy"" (From ""K-On!"")",けいおん!,2009-01-01,"Don't Say ""Lazy"" (From ""K-ON!)",Sakurakou K-ON Bu,263973,52,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:37:42Z,"anime,j-rock,j-pop",PONY CANYON INC.,0.311,0.981,9,-2.312,1,0.0736,0.0023,0.0499,0.29,0.365,180.967,4
spotify:track:434YBNY61Y9sqBSp7OINBa,君の知らない物語,化物語,2009-01-01,Today Is A Beautiful Day,supercell,339573,56,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:38:07Z,"anime,j-pop,j-rock",Sony Music Labels Inc.,0.433,0.897,9,-3.156,1,0.0438,0.0169,0,0.109,0.563,164.986,4
spotify:track:4jYQqcYSoYy8iAwB5DloJz,My Soul Your Beats!,Angel Beats!,2010-01-01,My Soul Your Beats!/Brave Song,Lia;VISUAL ARTS / Key,275480,41,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:34:54Z,anime,VISUAL ARTS / Key Sounds Label,0.566,0.76,11,-6.034,0,0.0658,0.28,0,0.326,0.295,144.781,4
spotify:track:6SrKLkuqWyKxSxzvtRWvX5,コネクト,魔法少女まどか☆マギカ,2011-01-01,ClariS -Single Best 1st-,ClariS,270040,0,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:35:19Z,"anime,j-pop",Sony Music Labels Inc.,0.517,0.906,1,-4.349,1,0.0508,0.07,0.000223,0.155,0.671,175.021,4
spotify:track:7Bh5pZWryHBwxh13y7QTrt,secret base 〜君がくれたもの〜,あの日見た花の名前を僕達はまだ知らない。,2011-01-01,Summer Tracks - Natsu No Uta,ClariS,296586,0,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:35:33Z,"anime,j-pop",Sony Music Labels Inc.,0.479,0.818,6,-4.779,1,0.0395,0.25,0.000435,0.215,0.514,144.684,4
spotify:track:3VrY5AUgxJJsmw9HMP4w6W,Magia,魔法少女まどか☆マギカ,2011-01-01,「魔法少女まどか☆マギカ」 Ultimate Best,Kalafina,313586,44,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:39:32Z,"anime,j-rock,j-pop",Aniplex Inc.,0.481,0.828,0,-5.181,0,0.0476,0.0000461,0.00355,0.107,0.416,124.99,4
spotify:track:4keYzo4xwFG5XgfBlh9SUW,Hacking To The Gate,STEINS;GATE,2011-01-01,Frostbites,Everfrost;ShiroNeko,277387,27,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:53:58Z,"power metal,symphonic metal",Rockshots Records,0.386,0.935,10,-5.576,1,0.093,0.0000171,0.0537,0.395,0.44,159.97,4
spotify:track:5UNdjFCgpr2czfhKrT1Tmw,The Everlasting Guilty Crown,ギルティクラウン,2011-01-01,The Everlasting Guilty Crown,EGOIST,328026,50,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T19:15:41Z,"anime,j-pop,j-rock",Aniplex Inc.,0.343,0.881,6,-4.934,0,0.0588,0.000152,0.00375,0.0963,0.286,171.969,4
spotify:track:38mUTswfszVFQ952r89AP8,千本桜,初音ミク,2012-01-01,千本桜,KuroUsa(WhiteFlame),252467,58,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:28:40Z,vocaloid,KarenT,0.475,0.938,2,-3.129,0,0.0378,0.00644,0.00005,0.367,0.945,154.019,4
spotify:track:3mScGCzxiXA9OaHdBeuk7O,crossing field,ソードアート・オンライン,2012-01-01,LANDSPACE,LiSA,248946,1,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:36:00Z,"anime,j-pop,j-rock",NITRON concepts,0.447,0.983,5,-2.281,1,0.268,0.0157,0,0.276,0.317,179.072,4
spotify:track:1xAjcHiQRXrrduJeoYRXLG,Chase the world,アクセル・ワールド,2012-01-01,Chase the world,May'n,223000,32,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:36:20Z,"anime,j-pop",FlyingDog,0.506,0.947,8,-4.944,1,0.101,0.011,0.00000142,0.311,0.711,169.994,4
spotify:track:7CoXiUY4GvZqnKtM6oWvYT,デート・ア・ライブ,デート・ア・ライブ,2013-01-01,「デート・ア・ライブ」新作放送記念! 主題歌大全集,sweet ARMS,280506,29,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:36:43Z,anime,"Nippon Columbia Co., Ltd./NIPPONOPHONE",0.297,0.922,10,-2.317,1,0.0564,0.096,0.00000126,0.335,0.467,88.874,4
spotify:track:4WS4FgOG1fOZl1VuD5aeQX,回レ!雪月花,機巧少女は傷つかない,2013-01-01,ひげこれ! HIGEDRIVER BEST in KADOKAWA ANISON,歌組雪月花,235632,37,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:37:08Z,anime,KADOKAWA,0.503,0.959,0,-3.325,0,0.0684,0.00327,0.000257,0.33,0.884,160.002,4
spotify:track:0F8psXXh2oxE5BGdkKaoIs,紅蓮の弓矢,進撃の巨人,2013-01-01,自由への進撃,Linked Horizon,316933,51,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T19:15:19Z,"anime,j-pop",ポニーキャニオン,0.322,0.99,1,-3.859,0,0.267,0.067,0.00000282,0.628,0.073,180.642,4
spotify:track:18asIXvfX6RyEtdiGKpTF5,THIS GAME,ノーゲーム・ノーライフ,2014-01-01,18 -Colorful Gift-,Konomi Suzuki,284160,55,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:37:34Z,"anime,j-pop,j-rock",KADOKAWA,0.472,0.887,11,-4.359,0,0.0689,0.0314,0,0.0618,0.317,146.965,4
spotify:track:4lFGExZoEArB7jzulnWtfl,Daydream café,ご注文はうさぎですか？,2014-01-01,Daydream café,Petit Rabbit's,228853,0,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:38:29Z,anime,NBCUniversal Entertainment,0.602,0.964,3,-5.948,1,0.0688,0.114,0,0.163,0.829,150.044,4
spotify:track:6uR92injo4PDzSrOPRFfHt,シュガーソングとビターステップ,血界戦線,2015-01-01,UNISON SQUARE GARDEN The 1st Collection for streaming,UNISON SQUARE GARDEN,253226,56,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T19:16:33Z,"anime,j-rock,j-pop",TOY'S FACTORY,0.626,0.89,6,-3.285,1,0.0536,0.00369,0,0.0839,0.849,131.997,4
spotify:track:0WjYHf18yTqGEQjLRHLNWp,Redo,Re:ゼロから始める異世界生活,2016-01-01,lead,Konomi Suzuki,260066,54,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:40:50Z,"anime,j-pop,j-rock",メディアファクトリー,0.425,0.976,8,-2.837,1,0.181,0.00199,0,0.332,0.489,94.884,4
spotify:track:4AttA0ULabd5N5EBDw2jIO,前前前世,君の名は。,2016-01-01,前前前世,Amelia Khor,284444,33,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T19:16:44Z,,1504728 Records DK,0.55,0.935,2,-8.421,1,0.0614,0.00213,0.0011,0.199,0.721,95.012,4
spotify:track:6avH20eR9SGNwV1H0vzHed,ようこそジャパリパークへ,けものフレンズ,2017-01-01,ようこそジャパリパークへ　～こんぷりーとべすと～,どうぶつビスケッツ×PPP,205000,21,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:41:41Z,anime,Victor,0.604,0.977,5,-3.056,1,0.0661,0.295,0,0.0521,0.804,170.055,4
spotify:track:3pKGijaLa4b6Fq0zCniPuo,"One Last You (From ""Xenoblade Chronicles 2"") - Piano/Vocal Cover",ゼノブレイド2,2017-01-01,"In the Mist (Piano Covers from ""Xenoblade Chronicles 2"")",Dream Kittu,346000,19,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:52:16Z,,Dream Kittu,0.317,0.176,2,-11.354,1,0.0489,0.972,0.00074,0.109,0.227,184.263,3
spotify:track:1n7h7TRGicLtXDZJcm8IGO,コレカラ,りゅうおうのおしごと！,2018-01-01,TVアニメ「りゅうおうのおしごと!」オープニングテーマ 「コレカラ」,Machico,218173,4,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:42:42Z,anime,"Nippon Columbia Co., Ltd. / NIPPONOPHONE",0.528,0.933,9,-3.614,1,0.0588,0.0192,0.0000114,0.102,0.67,162.108,4
spotify:track:18dWBsEdWdGA1MRPN95H1X,FLARE,ありふれた職業で世界最強,2018-01-01,FLARE,Void_Chords;LIO,274426,42,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:44:42Z,anime,Lantis,0.413,0.915,7,-4.741,0,0.125,0.188,0,0.526,0.465,164.008,4
spotify:track:1hFsEbHxsfflhLEPCq5tzk,紅蓮華,鬼滅の刃,2019-01-01,紅蓮華,LiSA,238586,0,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:47:25Z,"anime,j-pop,j-rock",Sony Music Labels Inc.,0.544,0.979,4,-2.8,0,0.153,0.00336,0.000116,0.0775,0.31,135.001,4
spotify:track:06XQvnJb53SUYmlWIhUXUi,怪物,BEASTARS,2019-01-01,怪物,YOASOBI,206000,66,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T19:16:58Z,"j-pop,anime",YOASOBI,0.627,0.824,1,-3.419,1,0.118,0.0699,0.0000657,0.31,0.774,169.935,4
spotify:track:3r5h4WbAe3J4UtucnQwcD7,CHAIN,ヴィジュアルプリズン,2021-01-01,百希夜行,ASCA,242546,41,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:45:36Z,"anime,j-rock,j-pop",Sony Music Labels Inc.,0.519,0.932,2,-3.515,1,0.175,0.00709,0,0.073,0.638,96.012,4
spotify:track:6iIUjQjRX0Wy6Ri179w9SP,KEEP WEAVING YOUR SPIDER WAY,蜘蛛ですが、なにか？,2021-01-01,安月名莉子 1st Album「BLUE MOON」,安月名莉子,259233,34,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:46:52Z,anime,KADOKAWA,0.573,0.979,1,-2.255,1,0.0783,0.000524,0.0000361,0.189,0.274,103.975,4
spotify:track:1ocxu4f7ZOjOcwAbqQ8l1T,HIGHEST,陰の実力者になりたくて！,2022-01-01,OPENING THEME FROM TV SERIES ”THE EMINENCE IN SHADOW”,OxT,216552,48,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:41:10Z,"anime,j-rock",KADOKAWA,0.401,0.949,8,-4.968,1,0.312,0.012,0,0.185,0.528,180.113,4
spotify:track:7xm0KJMfeaJQmQdDxAipiY,チキチキバンバン,パリピ孔明,2022-01-01,チキチキバンバン,QUEENDOM,202500,48,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:47:51Z,anime,avex trax,0.623,0.987,4,-2.03,0,0.128,0.0469,0,0.317,0.502,128.047,4
spotify:track:7ovUcF5uHTBRzUpB6ZOmvt,アイドル,【推しの子】,2023-01-01,アイドル,YOASOBI,213233,72,FALSE,313lyebmftm5hq3fburozhjduqne,2026-02-27T18:48:08Z,"j-pop,anime",YOASOBI,0.574,0.935,1,-2.783,1,0.0926,0.112,0.00000107,0.367,0.836,166.008,4